lang/values;0_breakGuid;1_stemmGuid;2_isEuroTalk;3_isLingea;4_isGoethe;5_sqlQuery;6_lcid;7_isGoogleTrans
el-GR;{0F7679E0-1386-493C-AF00-DAC67B1B16B1}/MsWb7.dll;{26D868ED-CA80-481B-B138-3E8C661161B1}/MsWb7.dll;1;1;1;1;1032;el
en-GB;{9FAED859-0B30-4434-AE65-412E14A16FB8}/MsWb7.dll;{E1E5EF84-C4A6-4E50-8188-99AEF3DE2659}/MsWb7.dll;1;1;1;1;2057;
en-US;{9FAED859-0B30-4434-AE65-412E14A16FB8}/MsWb7.dll;{E1E5EF84-C4A6-4E50-8188-99AEF3DE2659}/MsWb7.dll;1;;1;1;1033;en
eo-001;;;;;;;4096;eo
es-ES;{68DC71DC-2327-4040-8F03-50D6A9805049}/NaturalLanguage6.dll;{87824713-C8B0-4379-8556-1689764E4237}/NaturalLanguage6.dll;1;1;1;1;3082;es
et-EE;;;1;1;1;;1061;et
eu-ES;;;1;;;;1069;eu
fa-IR;;;1;;;;1065;fa
fi-FI;;;1;1;1;;1035;fi
fil-PH;;;;;;;1124;tl
fr-FR;{92F2118A-E813-4a4d-9DE2-F96A9DC02C53}/NaturalLanguage6.dll;{10A2BDBC-7130-420c-9320-A92CC1919206}/NaturalLanguage6.dll;1;1;1;1;1036;fr
fy-NL;;;;;;;1122;fy
ga-IE;;;1;;;;2108;ga
gd-GB;;;;;;;1169;gd
gl-ES;;;1;;;;1110;gl
gu-IN;{04DA8451-7F63-4870-A4D7-F55BE66BFDFB}/NaturalLanguage6.dll;{42001A23-ED2A-4582-8BCC-6320C543E102}/NaturalLanguage6.dll;;;;1;1095;gu
ha-NG;;;1;;;;1128;ha
haw-US;;;;;;;1141;haw
he-IL;{E5B2CB7A-FD35-4d4b-A147-176FEB42244B}/NaturalLanguage6.dll;{E58FA315-E206-4ca4-81CE-F34E18E672C9}/NaturalLanguage6.dll;1;;1;1;1037;he
hi-IN;{0F0549A6-C2E0-442a-85D7-20E3DB9B6A1F}/NaturalLanguage6.dll;{FD51544B-8050-4c68-ABAE-3E1F7A8C01D3}/NaturalLanguage6.dll;;;1;1;1081;hi
hmn-US;;;;;;;4096;hmn
hr-HR;{712720F4-F4FF-46cf-B6EC-2CC24FC873A5}/NaturalLanguage6.dll;{818C68B0-D4C9-475c-B2CF-AF4242F27C8D}/NaturalLanguage6.dll;1;1;1;1;1050;hr
ht-HT;;;;;;;4096;ht
hu-HU;;;1;1;1;;1038;hu
hy-AM;;;1;;1;;1067;hy
id-ID;{F7B02D8A-65DB-41cb-894D-5BBBF96C1B42}/NaturalLanguage6.dll;{E7B6AEE0-84AE-46ce-B450-DEBF58C90889}/NaturalLanguage6.dll;1;;1;1;1057;id
ig-NG;;;1;;;;1136;ig
is-IS;{53DA1CBB-0F45-46a4-AA6E-47CAAD84C921}/NaturalLanguage6.dll;{8E67B6EF-205D-490f-A004-7B04F8F65B62}/NaturalLanguage6.dll;1;;;1;1039;is
it-IT;{7E352021-69D6-4553-86AC-430B0D8FF913}/NaturalLanguage6.dll;{52BE2F87-1638-408a-9A98-74239B0B7DB5}/NaturalLanguage6.dll;1;1;1;1;1040;it
ja-JP;{04096682-6ECE-4E9E-90C1-52D81F0422ED}/MsWb70011.dll;;1;1;1;1;1041;ja
jv-ID;;;;;;;4096;jw
ka-GE;;;1;;1;;1079;ka
kk-KZ;;;;;;;1087;kk
km-KH;;;1;;;;1107;km
kn-IN;{4495524E-2E54-472d-86D7-D671CA588F01}/NaturalLanguage6.dll;{095D3BE1-A874-46a5-B989-AE43E3427E3C}/NaturalLanguage6.dll;;;;1;1099;kn
ko-KR;{737FC9B5-BC66-4953-B7DB-B79A72A592A5}/korwbrkr.dll;{97E8EFC5-42DA-43ED-9CEC-84FDE3620F1A}/korwbrkr.dll;1;1;1;1;1042;ko
ku-TR;;;;;;;4096;ku
ky-KG;;;1;;;;1088;ky
la-VA;;;;;;;4096;la
lb-LU;;;;;;;1134;lb
lo-LA;;;;;;;1108;lo
lt-LT;{1C0D39B2-C788-40d2-B062-FDF8293D7BC6}/NaturalLanguage6.dll;{E1E0A883-AB68-4c6c-9C8C-808AF2BA4CBA}/NaturalLanguage6.dll;1;1;1;1;1063;lt
lv-LV;{C700F6EF-A80F-4b24-922A-32308B6FF0C3}/NaturalLanguage6.dll;{9D0EAB8C-8EF4-4020-B867-2B1E04E4B8E5}/NaturalLanguage6.dll;1;1;1;1;1062;lv
mg-MG;;;;;;;4096;mg
mi-NZ;;;1;;;;1153;mi
mk-MK;;;1;;1;;1071;mk
ml-IN;{69ED626B-904D-4def-B919-9EF7E4E339DD}/NaturalLanguage6.dll;{1A3ED173-B201-4470-9FC6-EC46CF8D56F1}/NaturalLanguage6.dll;1;;;1;1100;ml
mn-MN;;;1;;;;1104;mn
mr-IN;{8B3302D7-95F6-4bc5-A06A-0D6DEF15DB69}/NaturalLanguage6.dll;{81442F68-A942-457e-9AF0-C6977E244A7C}/NaturalLanguage6.dll;;;1;1;1102;mr
ms-MY;{EB6C9433-4AAB-4b71-8B18-8F7A3812E43A}/NaturalLanguage6.dll;{A0A5A274-A190-4a81-997B-9593D6F6D462}/NaturalLanguage6.dll;1;;;1;1086;ms
mt-MT;;;1;;;;1082;mt
my-MM;;;;;;;1109;my
nb-NO;{A9C6B8DD-3CBB-44cb-AA44-4B1C0DBB404D}/NaturalLanguage6.dll;{86781CF9-799C-4cff-9AA5-43F4C23FF866}/NaturalLanguage6.dll;1;1;1;1;1044;no
ne-NP;;;;;;;1121;ne
nl-NL;{69483C30-A9AF-4552-8F84-A0796AD5285B}/MsWb7.dll;{CF923CB5-1187-43AB-B053-3E44BED65FFA}/MsWb7.dll;1;1;1;1;1043;nl
nso-ZA;;;1;;;;1132;
ny-MW;;;;;;;4096;ny
oc-FR;;;1;;;;1154;
pa-Guru;{9FE6E853-B35F-4fe4-B006-33148455093E}/NaturalLanguage6.dll;{5F104B61-7998-4049-A7BB-C99EFB6B4A4E}/NaturalLanguage6.dll;;;1;1;4096;pa
pl-PL;{0D5EBEA3-B982-46B9-9378-4C238262C12C}/MsWb7.dll;{6D2D2C1D-5A3C-43C2-96D9-F3878D0A1B69}/MsWb7.dll;1;1;1;1;1045;pl
ps-AF;;;1;;;;1123;ps
pt-BR;{A25A5CCD-80F4-4e02-AADD-7F39CC55E737}/NaturalLanguage6.dll;{DC4701DE-1014-44cc-85A6-253F2B30FB9E}/NaturalLanguage6.dll;1;;1;1;1046;pt
