bregom: brezov,brezova,brezi
bregova: brezov,brezova,brezi
bregove: brezov,brezova,brezi
bregovi: brezov,brezova,brezi
bregovima: brezov,brezova,brezi
bregu: brezov,brezova,brezi
brez: brezov,brezova,brezom
breze: brezov,brezova
brezi: brezov,brezova
brezin: brezov,brezova,breze
brezine: brezov,brezova,breze
brezino: brezov,brezova,breze
brezinog: brezov,brezova,breze
brezom: brezov,brezova
brezu: brezov,brezova
brežuljkastih: brežuljkast,brežuljkasta
brežuljkastim: brežuljkast,brežuljkasta
brežuljkasto: brežuljkast,brežuljkasta
brežuljkastog: brežuljkast,brežuljkasta
brežuljkastoj: brežuljkast,brežuljkasta
bridovim: brid,bridova
brij: brije,brijem
brijege: brije,brijega
brijegom: brije,brijega
brijegova: brije,brijega
brijegove: brije,brijega
brijegovi: brije,brijega
brijegovima: brije,brijega
brijegu: brije,brijega
briljanata: briljantin,briljanta
brisaci: brisač,brisače
brisak: brisač,brisače,brisaci
brisal: brisalo,brisala
brižljivim: brižljiv,brižljiva
brižljivo: brižljiv,brižljiva
brižljivog: brižljiv,brižljiva
brižljivoj: brižljiv,brižljiva
brkatih: brkat,brkati
brkato: brkat,brkati
brkatog: brkat,brkati
brkatoga: brkat,brkati
brko: brakom,braka
brodarevu: brodar,brodareva
brodarov: brodar,brodarova
brodarovih: brodar,brodarova
brodarovu: brodar,brodarova
brodeć: brodet,brodeći
brodeto: brodet,brodeta
brodov: brodovima,brodovim
broj: brojimo,brojim
brojana: brojnim,brojna
brojija: brojilo,brojila
brojio: brojilo,brojila
brojn: brojnim,brojni
brojnomu: brojnim,brojnom
bronho: bronh,bronha
brstim: brst,brsta
brusa: bruh,brusi
bruse: bruh,brusi
brusimo: bruh,brusim
brusom: bruh,brusi
brzoja: brzim,brzoj
brže: brzim,brzu
bubrežnomu: bubrežni,bubrežnom
bucmasto: bucmast,bucmasta
bucmastog: bucmast,bucmasta
budalastih: budalast,budalasti
budalastim: budalast,budalasti
budalasto: budalast,budalasti
budalastog: budalast,budalasti
budećeg: budete,budeći
buduć: budućim,budući
budžeto: budžet,budžeta
bukvalan: bukvalno,bukvalna
buljilo: buljio,buljila
buljin: buljim,bulji
bunimo: buni,bunim
bunovan: bunovni,bunovna
buntovnica: buntovnik,buntovnici
buntovnice: buntovnik,buntovnici
buraga: burze,burazi
buragu: burze,burazi
burazov: burze,burazova
burazovim: burze,burazova
burazovog: burze,burazova
bureki: burek,bureka
burgu: burze,burazi
cekal: cekali,cekala
cekin: ceka,cekina
cel: celog,celi
celomu: celog,celom
ćem: ćemu,ćemo
centr: centre,centri
centrim: centre,centri
